from,to,width,color,title,gender,age_group,develop_year,is_significant,cd_from_to,significance,symbol,width_color
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.649 --</p>,All Sex,< 40,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.637 --</p>,All Sex,< 40,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.639 --</p>,All Sex,< 40,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.645 --</p>,All Sex,< 40,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.541 --</p>,All Sex,> 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.544 --</p>,All Sex,> 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.546 --</p>,All Sex,> 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.550 --</p>,All Sex,> 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.661 --</p>,All Sex,40 to 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.653 --</p>,All Sex,40 to 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.653 --</p>,All Sex,40 to 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.655 --</p>,All Sex,40 to 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.557 --</p>,All Sex,All Age,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.557 --</p>,All Sex,All Age,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.560 --</p>,All Sex,All Age,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.566 --</p>,All Sex,All Age,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.629 --</p>,F,< 40,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.610 --</p>,F,< 40,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.612 --</p>,F,< 40,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.622 --</p>,F,< 40,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.478 --</p>,F,> 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.474 --</p>,F,> 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.477 --</p>,F,> 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.482 --</p>,F,> 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.686 --</p>,F,40 to 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.685 --</p>,F,40 to 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.681 --</p>,F,40 to 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.682 --</p>,F,40 to 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.494 --</p>,F,All Age,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.491 --</p>,F,All Age,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.495 --</p>,F,All Age,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.504 --</p>,F,All Age,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.635 --</p>,M,> 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.636 --</p>,M,> 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.635 --</p>,M,> 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.636 --</p>,M,> 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.686 --</p>,M,40 to 60,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.669 --</p>,M,40 to 60,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.668 --</p>,M,40 to 60,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.666 --</p>,M,40 to 60,All Years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.635 --</p>,M,All Age,Within 2 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.634 --</p>,M,All Age,Within 5 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.635 --</p>,M,All Age,Within 10 years,0,AR-->AS,Not Significant,--,a
AR,AS,1,#CA0020,<p><b>AR-->AS</b></p><p>P value: 0.636 --</p>,M,All Age,All Years,0,AR-->AS,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.457 --</p>,All Sex,< 40,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.471 --</p>,All Sex,< 40,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.474 --</p>,All Sex,< 40,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.464 --</p>,All Sex,< 40,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.622 --</p>,All Sex,> 60,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.624 --</p>,All Sex,> 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.625 --</p>,All Sex,> 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.619 --</p>,All Sex,> 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.686 --</p>,All Sex,40 to 60,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.645 --</p>,All Sex,40 to 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.638 --</p>,All Sex,40 to 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.627 --</p>,All Sex,40 to 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.609 --</p>,All Sex,All Age,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.604 --</p>,All Sex,All Age,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.604 --</p>,All Sex,All Age,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.597 --</p>,All Sex,All Age,All Years,0,AR-->BP,Not Significant,--,a
