source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
12,13,0,0,1,1,0,0,1,1,0,1,1,1,1
12,13,0,0,1,1,0,0,1,1,1,1,1,1,12
12,13,0,0,1,1,0,1,0,1,0,1,1,1,1
12,13,0,0,1,1,0,1,0,1,1,1,1,1,1
12,13,0,1,0,1,0,0,1,1,1,1,1,1,11
12,13,0,1,0,1,0,1,0,1,0,1,1,1,7
12,13,0,1,0,1,0,1,0,1,1,1,1,1,14
12,13,0,1,0,1,1,0,0,1,0,0,0,1,1
12,13,0,1,0,1,1,0,0,1,0,1,1,1,2
12,13,0,1,0,1,1,0,0,1,1,1,1,1,36
12,1,0,0,1,1,0,0,1,1,0,1,1,1,1
12,1,0,0,1,1,0,0,1,1,1,1,1,1,6
12,1,0,0,1,1,0,1,0,1,0,0,0,1,1
12,1,0,0,1,1,0,1,0,1,1,1,1,1,1
12,1,0,1,0,1,0,0,1,1,0,0,1,1,2
12,2,0,0,1,1,0,0,1,1,0,1,1,1,1
12,2,0,0,1,1,0,1,0,1,0,1,1,1,1
12,2,0,0,1,1,0,1,0,1,1,1,1,1,5
12,2,0,0,1,1,1,0,0,1,1,1,1,1,2
12,2,0,1,0,1,0,0,1,1,1,1,1,1,10
12,2,0,1,0,1,0,1,0,1,0,1,1,1,1
12,2,0,1,0,1,0,1,0,1,1,1,1,1,1
12,2,0,1,0,1,1,0,0,1,1,1,1,1,2
12,3,0,0,1,1,0,0,1,1,0,0,0,1,1
12,3,0,0,1,1,0,0,1,1,0,1,1,1,2
12,3,0,0,1,1,0,0,1,1,1,1,1,1,5
12,3,0,0,1,1,0,1,0,1,0,0,0,1,1
12,3,0,0,1,1,0,1,0,1,0,0,1,1,1
12,3,0,0,1,1,0,1,0,1,0,1,1,1,1
12,3,0,0,1,1,0,1,0,1,1,1,1,1,13
12,3,0,0,1,1,1,0,0,1,0,1,1,1,1
12,3,0,0,1,1,1,0,0,1,1,1,1,1,9
12,3,0,1,0,1,0,0,1,1,0,0,0,1,2
12,3,0,1,0,1,0,0,1,1,0,0,1,1,2
12,3,0,1,0,1,0,0,1,1,1,1,1,1,1
12,3,0,1,0,1,0,1,0,1,0,0,0,1,3
12,3,0,1,0,1,0,1,0,1,0,0,1,1,1
12,3,0,1,0,1,0,1,0,1,1,1,1,1,10
12,3,0,1,0,1,1,0,0,1,0,0,0,1,1
12,3,0,1,0,1,1,0,0,1,0,1,1,1,1
12,3,0,1,0,1,1,0,0,1,1,1,1,1,3
12,4,0,0,1,1,0,0,1,1,0,0,0,1,2
12,4,0,0,1,1,0,0,1,1,1,1,1,1,17
12,4,0,0,1,1,0,1,0,1,0,0,0,1,2
12,4,0,0,1,1,0,1,0,1,1,1,1,1,4
12,4,0,0,1,1,1,0,0,1,0,0,0,1,1
12,4,0,1,0,1,0,0,1,1,0,0,0,1,2
12,4,0,1,0,1,0,0,1,1,0,1,1,1,2
12,4,0,1,0,1,0,0,1,1,1,1,1,1,10
12,4,0,1,0,1,0,1,0,1,0,0,0,1,5
12,4,0,1,0,1,0,1,0,1,0,0,1,1,1
12,4,0,1,0,1,0,1,0,1,0,1,1,1,1
12,4,0,1,0,1,0,1,0,1,1,1,1,1,4
12,4,0,1,0,1,1,0,0,1,0,0,1,1,2
12,6,0,0,1,1,0,0,1,1,1,1,1,1,9
12,6,0,1,0,1,0,1,0,1,1,1,1,1,6
12,15,0,0,1,1,0,0,1,1,1,1,1,1,24
12,15,0,1,0,1,0,0,1,1,1,1,1,1,2
12,15,0,1,0,1,0,1,0,1,0,1,1,1,6
12,15,0,1,0,1,0,1,0,1,1,1,1,1,2
12,15,0,1,0,1,1,0,0,1,1,1,1,1,1
12,7,0,0,1,1,0,0,1,1,1,1,1,1,9
12,7,0,1,0,1,0,0,1,1,1,1,1,1,2
12,7,0,1,0,1,0,1,0,1,0,0,1,1,1
12,7,0,1,0,1,0,1,0,1,1,1,1,1,2
12,5,0,0,1,1,0,0,1,1,0,0,1,1,5
12,5,0,0,1,1,0,0,1,1,0,1,1,1,3
12,5,0,0,1,1,0,0,1,1,1,1,1,1,77
12,5,0,0,1,1,0,1,0,1,0,0,1,1,2
12,5,0,0,1,1,0,1,0,1,0,1,1,1,1
12,5,0,0,1,1,0,1,0,1,1,1,1,1,46
12,5,0,0,1,1,1,0,0,1,0,1,1,1,1
12,5,0,0,1,1,1,0,0,1,1,1,1,1,3
12,5,0,1,0,1,0,0,1,1,0,0,0,1,2
12,5,0,1,0,1,0,0,1,1,1,1,1,1,27
12,5,0,1,0,1,0,1,0,1,0,0,0,1,3
12,5,0,1,0,1,0,1,0,1,0,1,1,1,7
12,5,0,1,0,1,0,1,0,1,1,1,1,1,6
12,5,0,1,0,1,1,0,0,1,0,0,0,1,2
12,5,0,1,0,1,1,0,0,1,0,0,1,1,1
12,5,0,1,0,1,1,0,0,1,0,1,1,1,1
12,5,0,1,0,1,1,0,0,1,1,1,1,1,7
12,8,0,0,1,1,0,0,1,1,0,1,1,1,1
12,8,0,0,1,1,0,0,1,1,1,1,1,1,20
12,8,0,0,1,1,0,1,0,1,0,0,0,1,1
12,8,0,0,1,1,0,1,0,1,0,0,1,1,1
12,8,0,0,1,1,0,1,0,1,0,1,1,1,2
12,8,0,0,1,1,0,1,0,1,1,1,1,1,26
12,8,0,0,1,1,1,0,0,1,0,0,0,1,1
12,8,0,1,0,1,0,0,1,1,1,1,1,1,14
12,8,0,1,0,1,0,1,0,1,0,0,0,1,1
12,8,0,1,0,1,0,1,0,1,1,1,1,1,1
12,8,0,1,0,1,1,0,0,1,0,0,0,1,3
12,8,0,1,0,1,1,0,0,1,1,1,1,1,2
12,16,0,0,1,1,0,0,1,1,1,1,1,1,3
12,16,0,0,1,1,0,1,0,1,0,0,0,1,1
12,16,0,0,1,1,0,1,0,1,0,1,1,1,3
12,16,0,0,1,1,0,1,0,1,1,1,1,1,24
12,16,0,0,1,1,1,0,0,1,1,1,1,1,31
12,16,0,1,0,1,0,0,1,1,1,1,1,1,5
12,16,0,1,0,1,0,1,0,1,1,1,1,1,11
12,16,0,1,0,1,1,0,0,1,1,1,1,1,49
12,17,0,0,1,1,0,0,1,1,0,1,1,1,2
12,17,0,0,1,1,0,0,1,1,1,1,1,1,71
12,17,0,0,1,1,0,1,0,1,0,1,1,1,2
12,17,0,0,1,1,0,1,0,1,1,1,1,1,18
12,17,0,0,1,1,1,0,0,1,0,1,1,1,1
12,17,0,0,1,1,1,0,0,1,1,1,1,1,7
12,17,0,1,0,1,0,0,1,1,0,0,1,1,2
12,17,0,1,0,1,0,0,1,1,0,1,1,1,2
12,17,0,1,0,1,0,0,1,1,1,1,1,1,12
12,17,0,1,0,1,0,1,0,1,0,0,0,1,1
12,17,0,1,0,1,0,1,0,1,1,1,1,1,25
12,17,0,1,0,1,1,0,0,1,0,0,0,1,1
12,17,0,1,0,1,1,0,0,1,1,1,1,1,4
12,9,0,0,1,1,0,0,1,1,0,1,1,1,3
12,9,0,0,1,1,0,0,1,1,1,1,1,1,9
12,9,0,0,1,1,0,1,0,1,1,1,1,1,2
12,9,0,0,1,1,1,0,0,1,0,1,1,1,1
12,19,0,0,1,1,1,0,0,1,1,1,1,1,1
12,19,0,1,0,1,1,0,0,1,1,1,1,1,1
12,20,0,0,1,1,0,0,1,1,0,1,1,1,1
12,20,0,0,1,1,0,0,1,1,1,1,1,1,47
12,20,0,0,1,1,0,1,0,1,0,0,0,1,1
12,20,0,0,1,1,0,1,0,1,1,1,1,1,38
12,20,0,0,1,1,1,0,0,1,1,1,1,1,2
12,20,0,1,0,1,0,0,1,1,0,1,1,1,6
12,20,0,1,0,1,0,0,1,1,1,1,1,1,35
12,20,0,1,0,1,0,1,0,1,0,1,1,1,7
12,20,0,1,0,1,0,1,0,1,1,1,1,1,37
12,20,0,1,0,1,1,0,0,1,0,1,1,1,1
12,20,0,1,0,1,1,0,0,1,1,1,1,1,4
12,10,0,0,1,1,0,0,1,1,1,1,1,1,21
12,10,0,0,1,1,0,1,0,1,0,1,1,1,2
12,10,0,0,1,1,0,1,0,1,1,1,1,1,89
12,10,0,0,1,1,1,0,0,1,0,1,1,1,1
12,10,0,0,1,1,1,0,0,1,1,1,1,1,49
12,10,0,1,0,1,0,0,1,1,0,0,0,1,2
12,10,0,1,0,1,0,0,1,1,1,1,1,1,22
12,10,0,1,0,1,0,1,0,1,0,0,0,1,2
12,10,0,1,0,1,0,1,0,1,0,1,1,1,2
12,10,0,1,0,1,0,1,0,1,1,1,1,1,73
12,10,0,1,0,1,1,0,0,1,0,0,0,1,3
12,10,0,1,0,1,1,0,0,1,1,1,1,1,84
12,21,0,0,1,1,0,0,1,1,1,1,1,1,12
12,21,0,0,1,1,0,1,0,1,1,1,1,1,13
12,21,0,0,1,1,1,0,0,1,0,0,0,1,1
12,21,0,0,1,1,1,0,0,1,1,1,1,1,1
12,21,0,1,0,1,0,0,1,1,0,0,0,1,1
12,21,0,1,0,1,0,0,1,1,1,1,1,1,2
