cd_from,cd_to,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,instance
Alcohol,Anemia,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,Anemia,0,0,1,1,0,0,1,1,1,1,1,1,12
Alcohol,Anemia,0,0,1,1,0,1,0,1,0,1,1,1,1
Alcohol,Anemia,0,0,1,1,0,1,0,1,1,1,1,1,1
Alcohol,Anemia,0,1,0,1,0,0,1,1,1,1,1,1,11
Alcohol,Anemia,0,1,0,1,0,1,0,1,0,1,1,1,7
Alcohol,Anemia,0,1,0,1,0,1,0,1,1,1,1,1,14
Alcohol,Anemia,0,1,0,1,1,0,0,1,0,0,0,1,1
Alcohol,Anemia,0,1,0,1,1,0,0,1,0,1,1,1,2
Alcohol,Anemia,0,1,0,1,1,0,0,1,1,1,1,1,36
Alcohol,AR,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,AR,0,0,1,1,0,0,1,1,1,1,1,1,6
Alcohol,AR,0,0,1,1,0,1,0,1,0,0,0,1,1
Alcohol,AR,0,0,1,1,0,1,0,1,1,1,1,1,1
Alcohol,AR,0,1,0,1,0,0,1,1,0,0,1,1,2
Alcohol,AS,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,AS,0,0,1,1,0,1,0,1,0,1,1,1,1
Alcohol,AS,0,0,1,1,0,1,0,1,1,1,1,1,5
Alcohol,AS,0,0,1,1,1,0,0,1,1,1,1,1,2
Alcohol,AS,0,1,0,1,0,0,1,1,1,1,1,1,10
Alcohol,AS,0,1,0,1,0,1,0,1,0,1,1,1,1
Alcohol,AS,0,1,0,1,0,1,0,1,1,1,1,1,1
Alcohol,AS,0,1,0,1,1,0,0,1,1,1,1,1,2
Alcohol,BP,0,0,1,1,0,0,1,1,0,0,0,1,1
Alcohol,BP,0,0,1,1,0,0,1,1,0,1,1,1,2
Alcohol,BP,0,0,1,1,0,0,1,1,1,1,1,1,5
Alcohol,BP,0,0,1,1,0,1,0,1,0,0,0,1,1
Alcohol,BP,0,0,1,1,0,1,0,1,0,0,1,1,1
Alcohol,BP,0,0,1,1,0,1,0,1,0,1,1,1,1
Alcohol,BP,0,0,1,1,0,1,0,1,1,1,1,1,13
Alcohol,BP,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,BP,0,0,1,1,1,0,0,1,1,1,1,1,9
Alcohol,BP,0,1,0,1,0,0,1,1,0,0,0,1,2
Alcohol,BP,0,1,0,1,0,0,1,1,0,0,1,1,2
Alcohol,BP,0,1,0,1,0,0,1,1,1,1,1,1,1
Alcohol,BP,0,1,0,1,0,1,0,1,0,0,0,1,3
Alcohol,BP,0,1,0,1,0,1,0,1,0,0,1,1,1
Alcohol,BP,0,1,0,1,0,1,0,1,1,1,1,1,10
Alcohol,BP,0,1,0,1,1,0,0,1,0,0,0,1,1
Alcohol,BP,0,1,0,1,1,0,0,1,0,1,1,1,1
Alcohol,BP,0,1,0,1,1,0,0,1,1,1,1,1,3
Alcohol,C,0,0,1,1,0,0,1,1,0,0,0,1,2
Alcohol,C,0,0,1,1,0,0,1,1,1,1,1,1,17
Alcohol,C,0,0,1,1,0,1,0,1,0,0,0,1,2
Alcohol,C,0,0,1,1,0,1,0,1,1,1,1,1,4
Alcohol,C,0,0,1,1,1,0,0,1,0,0,0,1,1
Alcohol,C,0,1,0,1,0,0,1,1,0,0,0,1,2
Alcohol,C,0,1,0,1,0,0,1,1,0,1,1,1,2
Alcohol,C,0,1,0,1,0,0,1,1,1,1,1,1,10
Alcohol,C,0,1,0,1,0,1,0,1,0,0,0,1,5
Alcohol,C,0,1,0,1,0,1,0,1,0,0,1,1,1
Alcohol,C,0,1,0,1,0,1,0,1,0,1,1,1,1
Alcohol,C,0,1,0,1,0,1,0,1,1,1,1,1,4
Alcohol,C,0,1,0,1,1,0,0,1,0,0,1,1,2
Alcohol,CKD,0,0,1,1,0,0,1,1,1,1,1,1,9
Alcohol,CKD,0,1,0,1,0,1,0,1,1,1,1,1,6
Alcohol,Coagulopathy,0,0,1,1,0,0,1,1,1,1,1,1,24
Alcohol,Coagulopathy,0,1,0,1,0,0,1,1,1,1,1,1,2
Alcohol,Coagulopathy,0,1,0,1,0,1,0,1,0,1,1,1,6
Alcohol,Coagulopathy,0,1,0,1,0,1,0,1,1,1,1,1,2
Alcohol,Coagulopathy,0,1,0,1,1,0,0,1,1,1,1,1,1
Alcohol,COPD,0,0,1,1,0,0,1,1,1,1,1,1,9
Alcohol,COPD,0,1,0,1,0,0,1,1,1,1,1,1,2
Alcohol,COPD,0,1,0,1,0,1,0,1,0,0,1,1,1
Alcohol,COPD,0,1,0,1,0,1,0,1,1,1,1,1,2
Alcohol,CVD,0,0,1,1,0,0,1,1,0,0,1,1,5
Alcohol,CVD,0,0,1,1,0,0,1,1,0,1,1,1,3
Alcohol,CVD,0,0,1,1,0,0,1,1,1,1,1,1,77
Alcohol,CVD,0,0,1,1,0,1,0,1,0,0,1,1,2
Alcohol,CVD,0,0,1,1,0,1,0,1,0,1,1,1,1
Alcohol,CVD,0,0,1,1,0,1,0,1,1,1,1,1,46
Alcohol,CVD,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,CVD,0,0,1,1,1,0,0,1,1,1,1,1,3
Alcohol,CVD,0,1,0,1,0,0,1,1,0,0,0,1,2
Alcohol,CVD,0,1,0,1,0,0,1,1,1,1,1,1,27
Alcohol,CVD,0,1,0,1,0,1,0,1,0,0,0,1,3
Alcohol,CVD,0,1,0,1,0,1,0,1,0,1,1,1,7
Alcohol,CVD,0,1,0,1,0,1,0,1,1,1,1,1,6
Alcohol,CVD,0,1,0,1,1,0,0,1,0,0,0,1,2
Alcohol,CVD,0,1,0,1,1,0,0,1,0,0,1,1,1
Alcohol,CVD,0,1,0,1,1,0,0,1,0,1,1,1,1
Alcohol,CVD,0,1,0,1,1,0,0,1,1,1,1,1,7
Alcohol,D,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,D,0,0,1,1,0,0,1,1,1,1,1,1,20
Alcohol,D,0,0,1,1,0,1,0,1,0,0,0,1,1
Alcohol,D,0,0,1,1,0,1,0,1,0,0,1,1,1
Alcohol,D,0,0,1,1,0,1,0,1,0,1,1,1,2
Alcohol,D,0,0,1,1,0,1,0,1,1,1,1,1,26
Alcohol,D,0,0,1,1,1,0,0,1,0,0,0,1,1
Alcohol,D,0,1,0,1,0,0,1,1,1,1,1,1,14
Alcohol,D,0,1,0,1,0,1,0,1,0,0,0,1,1
Alcohol,D,0,1,0,1,0,1,0,1,1,1,1,1,1
Alcohol,D,0,1,0,1,1,0,0,1,0,0,0,1,3
Alcohol,D,0,1,0,1,1,0,0,1,1,1,1,1,2
Alcohol,Drugs,0,0,1,1,0,0,1,1,1,1,1,1,3
Alcohol,Drugs,0,0,1,1,0,1,0,1,0,0,0,1,1
Alcohol,Drugs,0,0,1,1,0,1,0,1,0,1,1,1,3
Alcohol,Drugs,0,0,1,1,0,1,0,1,1,1,1,1,24
Alcohol,Drugs,0,0,1,1,1,0,0,1,1,1,1,1,31
Alcohol,Drugs,0,1,0,1,0,0,1,1,1,1,1,1,5
Alcohol,Drugs,0,1,0,1,0,1,0,1,1,1,1,1,11
Alcohol,Drugs,0,1,0,1,1,0,0,1,1,1,1,1,49
Alcohol,FluidsLytes,0,0,1,1,0,0,1,1,0,1,1,1,2
Alcohol,FluidsLytes,0,0,1,1,0,0,1,1,1,1,1,1,71
Alcohol,FluidsLytes,0,0,1,1,0,1,0,1,0,1,1,1,2
Alcohol,FluidsLytes,0,0,1,1,0,1,0,1,1,1,1,1,18
Alcohol,FluidsLytes,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,FluidsLytes,0,0,1,1,1,0,0,1,1,1,1,1,7
Alcohol,FluidsLytes,0,1,0,1,0,0,1,1,0,0,1,1,2
Alcohol,FluidsLytes,0,1,0,1,0,0,1,1,0,1,1,1,2
Alcohol,FluidsLytes,0,1,0,1,0,0,1,1,1,1,1,1,12
Alcohol,FluidsLytes,0,1,0,1,0,1,0,1,0,0,0,1,1
Alcohol,FluidsLytes,0,1,0,1,0,1,0,1,1,1,1,1,25
Alcohol,FluidsLytes,0,1,0,1,1,0,0,1,0,0,0,1,1
Alcohol,FluidsLytes,0,1,0,1,1,0,0,1,1,1,1,1,4
Alcohol,G,0,0,1,1,0,0,1,1,0,1,1,1,3
Alcohol,G,0,0,1,1,0,0,1,1,1,1,1,1,9
Alcohol,G,0,0,1,1,0,1,0,1,1,1,1,1,2
Alcohol,G,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,Hypothyroid,0,0,1,1,1,0,0,1,1,1,1,1,1
Alcohol,Hypothyroid,0,1,0,1,1,0,0,1,1,1,1,1,1
Alcohol,Liver,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,Liver,0,0,1,1,0,0,1,1,1,1,1,1,47
Alcohol,Liver,0,0,1,1,0,1,0,1,0,0,0,1,1
Alcohol,Liver,0,0,1,1,0,1,0,1,1,1,1,1,38
Alcohol,Liver,0,0,1,1,1,0,0,1,1,1,1,1,2
Alcohol,Liver,0,1,0,1,0,0,1,1,0,1,1,1,6
Alcohol,Liver,0,1,0,1,0,0,1,1,1,1,1,1,35
Alcohol,Liver,0,1,0,1,0,1,0,1,0,1,1,1,7
