cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort,develop_type,link,cases,MU,SD,prob,z,p,odds,odds_order,link_label,d_type_order
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2,overall,383,4681,12.221932114882506,19.439538147229193,0.83,-27,0,Very Unlikely,1,Prob: 0.83% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2,from,16,355,22.1875,36.735484661745424,10.99,-1.8,0.087,Neutral,2,Prob: 10.99% | p: 0.087,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,24,4,overall,547,49908,91.23948811700183,169.02142194170352,0.05,9.3,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,24,4,from,21,613,29.19047619047619,30.931568094131674,3.92,0.8,0.451,Neutral,2,Prob: 3.92% | p: 0.451,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,23,3,overall,489,14713,30.0879345603272,52.87491461865575,0.16,3,0.003,Very Likely,3,Prob: 0.16% | p: 0.003,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,23,3,from,21,625,29.761904761904763,38.17316434604913,3.68,0.8,0.426,Neutral,2,Prob: 3.68% | p: 0.426,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,86,1,overall,577,69302,120.10745233968804,216.3153776332515,0.12,3.8,0,Very Likely,3,Prob: 0.12% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,86,1,from,22,1593,72.4090909090909,83.29103255390766,5.4,-0.8,0.453,Neutral,2,Prob: 5.4% | p: 0.453,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,39,2,overall,335,3002,8.961194029850747,12.76790694169646,1.3,-43.1,0,Very Unlikely,1,Prob: 1.3% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,39,2,from,15,238,15.866666666666667,24.674644784436005,16.39,-3.6,0.003,Very Unlikely,1,Prob: 16.39% | p: 0.003,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,11,4,overall,508,24451,48.131889763779526,84.94760147771233,0.04,9.9,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,11,4,from,18,201,11.166666666666666,10.755299651252646,5.47,0.1,0.948,Neutral,2,Prob: 5.47% | p: 0.948,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,21,3,overall,424,7467,17.610849056603772,24.472534423744737,0.28,-2.9,0.005,Very Unlikely,1,Prob: 0.28% | p: 0.005,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,21,3,from,18,289,16.055555555555557,18.203012750712844,7.27,-1.2,0.265,Neutral,2,Prob: 7.27% | p: 0.265,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,71,1,overall,546,34920,63.956043956043956,105.21942947740376,0.2,-1.6,0.118,Neutral,2,Prob: 0.2% | p: 0.118,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,71,1,from,20,728,36.4,43.61964791479324,9.75,-3.5,0.002,Very Unlikely,1,Prob: 9.75% | p: 0.002,2
