Chronic_disease,ICD_Code,ICD_Version
Cancer,C000,ICD10
Cancer,C001,ICD10
Cancer,C002,ICD10
Cancer,C003,ICD10
Cancer,C004,ICD10
Cancer,C005,ICD10
Cancer,C006,ICD10
Cancer,C008,ICD10
Cancer,C009,ICD10
Cancer,C01,ICD10
Cancer,C020,ICD10
Cancer,C021,ICD10
Cancer,C022,ICD10
Cancer,C023,ICD10
Cancer,C024,ICD10
Cancer,C028,ICD10
Cancer,C029,ICD10
Cancer,C030,ICD10
Cancer,C031,ICD10
Cancer,C039,ICD10
Cancer,C040,ICD10
Cancer,C041,ICD10
Cancer,C048,ICD10
Cancer,C049,ICD10
Cancer,C050,ICD10
Cancer,C051,ICD10
Cancer,C052,ICD10
Cancer,C058,ICD10
Cancer,C059,ICD10
Cancer,C060,ICD10
Cancer,C061,ICD10
Cancer,C062,ICD10
Cancer,C0680,ICD10
Cancer,C0689,ICD10
Cancer,C069,ICD10
Cancer,C07,ICD10
Cancer,C080,ICD10
Cancer,C081,ICD10
Cancer,C089,ICD10
Cancer,C090,ICD10
Cancer,C091,ICD10
Cancer,C098,ICD10
Cancer,C099,ICD10
Cancer,C100,ICD10
Cancer,C101,ICD10
Cancer,C102,ICD10
Cancer,C103,ICD10
Cancer,C104,ICD10
Cancer,C108,ICD10
Cancer,C109,ICD10
Cancer,C110,ICD10
Cancer,C111,ICD10
Cancer,C112,ICD10
Cancer,C113,ICD10
Cancer,C118,ICD10
Cancer,C119,ICD10
Cancer,C12,ICD10
Cancer,C130,ICD10
Cancer,C131,ICD10
Cancer,C132,ICD10
Cancer,C138,ICD10
Cancer,C139,ICD10
Cancer,C140,ICD10
Cancer,C142,ICD10
Cancer,C148,ICD10
Cancer,C153,ICD10
Cancer,C154,ICD10
Cancer,C155,ICD10
Cancer,C158,ICD10
Cancer,C159,ICD10
Cancer,C160,ICD10
Cancer,C161,ICD10
Cancer,C162,ICD10
Cancer,C163,ICD10
Cancer,C164,ICD10
Cancer,C165,ICD10
Cancer,C166,ICD10
Cancer,C168,ICD10
Cancer,C169,ICD10
Cancer,C170,ICD10
Cancer,C171,ICD10
