cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,data_use,instance
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,Age Group,39
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,Age Group,24
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,Age Group,23
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,Age Group,86
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,Age Group,39
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,Age Group,11
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,Age Group,21
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,Age Group,71
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,Age Group,13
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,Age Group,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,Age Group,15
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,Age Group,9
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,Age Group,2
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,Age Group,11
Alcohol,AR,Alcohol-->AR,0,F,> 60,Age Group,2
Alcohol,AR,Alcohol-->AR,0,F,All Age,Age Group,2
Alcohol,AR,Alcohol-->AR,0,M,> 60,Age Group,7
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,Age Group,2
Alcohol,AR,Alcohol-->AR,0,M,All Age,Age Group,9
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,Age Group,4
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,Age Group,11
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,Age Group,8
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,Age Group,23
Alcohol,AS,Alcohol-->AS,0,F,< 40,Age Group,2
Alcohol,AS,Alcohol-->AS,0,F,> 60,Age Group,10
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,Age Group,2
Alcohol,AS,Alcohol-->AS,0,F,All Age,Age Group,14
Alcohol,AS,Alcohol-->AS,0,M,< 40,Age Group,2
Alcohol,AS,Alcohol-->AS,0,M,> 60,Age Group,1
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,Age Group,6
Alcohol,AS,Alcohol-->AS,0,M,All Age,Age Group,9
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,Age Group,15
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,Age Group,13
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,Age Group,30
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,Age Group,58
Alcohol,BP,Alcohol-->BP,0,F,< 40,Age Group,5
Alcohol,BP,Alcohol-->BP,0,F,> 60,Age Group,5
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,Age Group,14
Alcohol,BP,Alcohol-->BP,0,F,All Age,Age Group,24
Alcohol,BP,Alcohol-->BP,0,M,< 40,Age Group,10
Alcohol,BP,Alcohol-->BP,0,M,> 60,Age Group,8
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,Age Group,16
Alcohol,BP,Alcohol-->BP,0,M,All Age,Age Group,34
Alcohol,C,Alcohol-->C,0,All Sex,< 40,Age Group,3
Alcohol,C,Alcohol-->C,0,All Sex,> 60,Age Group,33
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,Age Group,17
Alcohol,C,Alcohol-->C,0,All Sex,All Age,Age Group,53
Alcohol,C,Alcohol-->C,0,F,< 40,Age Group,2
Alcohol,C,Alcohol-->C,0,F,> 60,Age Group,14
Alcohol,C,Alcohol-->C,0,F,40 to 60,Age Group,11
Alcohol,C,Alcohol-->C,0,F,All Age,Age Group,27
Alcohol,C,Alcohol-->C,0,M,< 40,Age Group,1
Alcohol,C,Alcohol-->C,0,M,> 60,Age Group,19
Alcohol,C,Alcohol-->C,0,M,40 to 60,Age Group,6
Alcohol,C,Alcohol-->C,0,M,All Age,Age Group,26
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,Age Group,9
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,Age Group,6
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,Age Group,15
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,Age Group,6
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,Age Group,6
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,Age Group,9
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,Age Group,9
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,Age Group,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,Age Group,26
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,Age Group,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,Age Group,35
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,Age Group,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,Age Group,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,Age Group,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,Age Group,11
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,Age Group,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,Age Group,24
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,Age Group,11
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,Age Group,3
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,Age Group,14
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,Age Group,2
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,Age Group,3
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,Age Group,5
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,Age Group,9
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,Age Group,9
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,Age Group,15
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,Age Group,114
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,Age Group,65
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,Age Group,194
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,Age Group,11
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,Age Group,29
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,Age Group,16
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,Age Group,56
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,Age Group,4
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,Age Group,85
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,Age Group,49
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,Age Group,138
Alcohol,D,Alcohol-->D,0,All Sex,< 40,Age Group,6
Alcohol,D,Alcohol-->D,0,All Sex,> 60,Age Group,35
Alcohol,D,Alcohol-->D,0,All Sex,40 to 60,Age Group,32
Alcohol,D,Alcohol-->D,0,All Sex,All Age,Age Group,73
Alcohol,D,Alcohol-->D,0,F,< 40,Age Group,5
Alcohol,D,Alcohol-->D,0,F,> 60,Age Group,14
Alcohol,D,Alcohol-->D,0,F,40 to 60,Age Group,2
Alcohol,D,Alcohol-->D,0,F,All Age,Age Group,21
Alcohol,D,Alcohol-->D,0,M,< 40,Age Group,1
Alcohol,D,Alcohol-->D,0,M,> 60,Age Group,21
Alcohol,D,Alcohol-->D,0,M,40 to 60,Age Group,30
Alcohol,D,Alcohol-->D,0,M,All Age,Age Group,52
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,< 40,Age Group,80
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,> 60,Age Group,8
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,40 to 60,Age Group,39
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,All Age,Age Group,127
Alcohol,Drugs,Alcohol-->Drugs,0,F,< 40,Age Group,49
Alcohol,Drugs,Alcohol-->Drugs,0,F,> 60,Age Group,5
Alcohol,Drugs,Alcohol-->Drugs,0,F,40 to 60,Age Group,11
Alcohol,Drugs,Alcohol-->Drugs,0,F,All Age,Age Group,65
Alcohol,Drugs,Alcohol-->Drugs,0,M,< 40,Age Group,31
Alcohol,Drugs,Alcohol-->Drugs,0,M,> 60,Age Group,3
Alcohol,Drugs,Alcohol-->Drugs,0,M,40 to 60,Age Group,28
Alcohol,Drugs,Alcohol-->Drugs,0,M,All Age,Age Group,62
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,< 40,Age Group,13
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,> 60,Age Group,89
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,40 to 60,Age Group,46
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,All Age,Age Group,148
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,< 40,Age Group,5
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,> 60,Age Group,16
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,40 to 60,Age Group,26
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,All Age,Age Group,47
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,< 40,Age Group,8
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,> 60,Age Group,73
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,40 to 60,Age Group,20
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,All Age,Age Group,101
Alcohol,G,Alcohol-->G,0,All Sex,< 40,Age Group,1
Alcohol,G,Alcohol-->G,0,All Sex,> 60,Age Group,12
Alcohol,G,Alcohol-->G,0,All Sex,40 to 60,Age Group,2
Alcohol,G,Alcohol-->G,0,All Sex,All Age,Age Group,15
Alcohol,G,Alcohol-->G,0,M,< 40,Age Group,1
Alcohol,G,Alcohol-->G,0,M,> 60,Age Group,12
Alcohol,G,Alcohol-->G,0,M,40 to 60,Age Group,2
Alcohol,G,Alcohol-->G,0,M,All Age,Age Group,15
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,All Sex,< 40,Age Group,2
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,All Sex,All Age,Age Group,2
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,F,< 40,Age Group,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,F,All Age,Age Group,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,M,< 40,Age Group,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,M,All Age,Age Group,1
Alcohol,Liver,Alcohol-->Liver,0,All Sex,< 40,Age Group,7
Alcohol,Liver,Alcohol-->Liver,0,All Sex,> 60,Age Group,89
Alcohol,Liver,Alcohol-->Liver,0,All Sex,40 to 60,Age Group,83
Alcohol,Liver,Alcohol-->Liver,0,All Sex,All Age,Age Group,179
Alcohol,Liver,Alcohol-->Liver,0,F,< 40,Age Group,5
Alcohol,Liver,Alcohol-->Liver,0,F,> 60,Age Group,41
Alcohol,Liver,Alcohol-->Liver,0,F,40 to 60,Age Group,44
Alcohol,Liver,Alcohol-->Liver,0,F,All Age,Age Group,90
Alcohol,Liver,Alcohol-->Liver,0,M,< 40,Age Group,2
Alcohol,Liver,Alcohol-->Liver,0,M,> 60,Age Group,48
Alcohol,Liver,Alcohol-->Liver,0,M,40 to 60,Age Group,39
Alcohol,Liver,Alcohol-->Liver,0,M,All Age,Age Group,89
Alcohol,MHC,Alcohol-->MHC,0,All Sex,< 40,Age Group,137
Alcohol,MHC,Alcohol-->MHC,0,All Sex,> 60,Age Group,45
Alcohol,MHC,Alcohol-->MHC,0,All Sex,40 to 60,Age Group,168
Alcohol,MHC,Alcohol-->MHC,0,All Sex,All Age,Age Group,350
Alcohol,MHC,Alcohol-->MHC,0,F,< 40,Age Group,87
Alcohol,MHC,Alcohol-->MHC,0,F,> 60,Age Group,24
Alcohol,MHC,Alcohol-->MHC,0,F,40 to 60,Age Group,77
Alcohol,MHC,Alcohol-->MHC,0,F,All Age,Age Group,188
Alcohol,MHC,Alcohol-->MHC,0,M,< 40,Age Group,50
Alcohol,MHC,Alcohol-->MHC,0,M,> 60,Age Group,21
Alcohol,MHC,Alcohol-->MHC,0,M,40 to 60,Age Group,91
Alcohol,MHC,Alcohol-->MHC,0,M,All Age,Age Group,162
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,< 40,Age Group,3
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,> 60,Age Group,15
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,40 to 60,Age Group,21
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,All Age,Age Group,39
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,< 40,Age Group,1
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,> 60,Age Group,3
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,40 to 60,Age Group,8
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,All Age,Age Group,12
