cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,develop_year,instance
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,Within 2 years,36
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,Within 5 years,38
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,Within 10 years,38
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,All Years,39
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,Within 2 years,23
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,Within 5 years,24
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,Within 10 years,24
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,All Years,24
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,Within 2 years,15
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,Within 5 years,23
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,Within 10 years,23
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,All Years,23
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,Within 2 years,74
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,Within 5 years,85
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,Within 10 years,85
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,All Years,86
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,Within 2 years,36
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,Within 5 years,38
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,Within 10 years,38
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,All Years,39
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,Within 2 years,11
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,Within 5 years,11
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,Within 10 years,11
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,All Years,11
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,Within 2 years,14
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,Within 5 years,21
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,Within 10 years,21
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,All Years,21
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,Within 2 years,61
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,Within 5 years,70
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,Within 10 years,70
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,All Years,71
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,Within 2 years,12
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,Within 5 years,13
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,Within 10 years,13
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,All Years,13
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,Within 2 years,1
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,Within 5 years,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,Within 10 years,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,All Years,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,Within 2 years,13
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,Within 5 years,15
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,Within 10 years,15
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,All Years,15
