cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,> 60,24,4
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,40 to 60,23,3
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,All Age,86,1
Alcohol,Anemia,Alcohol-->Anemia,0,F,< 40,39,2
Alcohol,Anemia,Alcohol-->Anemia,0,F,> 60,11,4
Alcohol,Anemia,Alcohol-->Anemia,0,F,40 to 60,21,3
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,71,1
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,13,4
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,2,3
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,15,1
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,9,4
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,2,3
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,11,1
Alcohol,AR,Alcohol-->AR,0,F,> 60,2,4
Alcohol,AR,Alcohol-->AR,0,F,All Age,2,1
Alcohol,AR,Alcohol-->AR,0,M,> 60,7,4
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,2,3
Alcohol,AR,Alcohol-->AR,0,M,All Age,9,1
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,4,2
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,11,4
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,8,3
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,23,1
Alcohol,AS,Alcohol-->AS,0,F,< 40,2,2
Alcohol,AS,Alcohol-->AS,0,F,> 60,10,4
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,2,3
Alcohol,AS,Alcohol-->AS,0,F,All Age,14,1
Alcohol,AS,Alcohol-->AS,0,M,< 40,2,2
Alcohol,AS,Alcohol-->AS,0,M,> 60,1,4
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,6,3
Alcohol,AS,Alcohol-->AS,0,M,All Age,9,1
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,15,2
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,13,4
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,30,3
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,58,1
Alcohol,BP,Alcohol-->BP,0,F,< 40,5,2
Alcohol,BP,Alcohol-->BP,0,F,> 60,5,4
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,14,3
Alcohol,BP,Alcohol-->BP,0,F,All Age,24,1
Alcohol,BP,Alcohol-->BP,0,M,< 40,10,2
Alcohol,BP,Alcohol-->BP,0,M,> 60,8,4
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,16,3
Alcohol,BP,Alcohol-->BP,0,M,All Age,34,1
Alcohol,C,Alcohol-->C,0,All Sex,< 40,3,2
Alcohol,C,Alcohol-->C,0,All Sex,> 60,33,4
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,17,3
Alcohol,C,Alcohol-->C,0,All Sex,All Age,53,1
Alcohol,C,Alcohol-->C,0,F,< 40,2,2
Alcohol,C,Alcohol-->C,0,F,> 60,14,4
Alcohol,C,Alcohol-->C,0,F,40 to 60,11,3
Alcohol,C,Alcohol-->C,0,F,All Age,27,1
Alcohol,C,Alcohol-->C,0,M,< 40,1,2
